Proprietário da Escola|SGE|INEP|C_lula|Setor|Rota|Owner
mamaral@positivo.com.br|654672|11048573|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|727377|43000452|C2|C2S4|Rota 11 - RS|4259414000001001001
mamaral@positivo.com.br|744279|43001165|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|1094538|23323213|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|1094697|41151976|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1125977|11049995|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1186362|21591679|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1200924|43005306|C2|C2S4|Rota 4 - RS|4259414000001001001
mamaral@positivo.com.br|1203711|41152000|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1452160|0|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1452998|41151992|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1461200|43044859|C2|C2S5|Rota 7 - RS|4259414000001001001
mamaral@positivo.com.br|1465303|0|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1494162|21279241|C8|C8S7|Rota 4 - MA|4259414000001001001
mamaral@positivo.com.br|1531350|0|C2|C2S5|Rota 3 - RS|4259414000001001001
alexandre.alvim@positivo.com.br|1532941|31366463|C3|C3S4|Rota 2 - MG|4259414000001068001
mamaral@positivo.com.br|1540339|0|C8|C8S3|Rota 1 - RO|4259414000001001001
mamaral@positivo.com.br|1573666|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1580351|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1583441|0|C8|C8S7|Rota 2 - PI|4259414000001001001
mamaral@positivo.com.br|1605869|0|C2|C2S6|Rota 6 - PR|4259414000001001001
ridete@positivo.com.br|1618388|29473845|C7|C7S6|Rota 8 - BA|4259414000001052013
mamaral@positivo.com.br|1622015|41085671|C2|C2S6|Rota 3 - PR|4259414000001001001
mamaral@positivo.com.br|1634352|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1636908|22141707|C8|C8S7|Rota 1 - PI|4259414000001001001
mamaral@positivo.com.br|1668941|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1696724|0|C6|C6S8|Rota 9 - CE|4259414000001001001
mamaral@positivo.com.br|1733344|0|C8|C8S7|Rota 4 - PI|4259414000001001001
mamaral@positivo.com.br|1734424|0|C2|C2S6|Rota 6 - PR|4259414000001001001
mamaral@positivo.com.br|1735128|43005527|C2|C2S5|Rota 3 - RS|4259414000001001001
